game_id,game_date,team_abbreviation_home,team_abbreviation_away,wl_home
24600001,1946-11-01,HUS,NYK,L
24600003,1946-11-02,BOM,PIT,W
24600002,1946-11-02,PRO,BOS,W
24600004,1946-11-02,CHS,NYK,W
24600005,1946-11-02,DEF,WAS,L
24600006,1946-11-03,CLR,HUS,W
24600007,1946-11-04,PIT,WAS,L
24600008,1946-11-05,BOS,CHS,L
24600009,1946-11-05,DEF,BOM,L
24600011,1946-11-07,PRO,CHS,W
24600012,1946-11-07,BOM,NYK,L
24600010,1946-11-07,PHW,PIT,W
24600013,1946-11-08,HUS,DEF,W
24600014,1946-11-09,BOM,WAS,W
24600015,1946-11-09,PRO,PIT,W
24600016,1946-11-09,CHS,HUS,W
24600017,1946-11-09,DEF,BOS,W
24600018,1946-11-10,CLR,WAS,W
24600020,1946-11-11,NYK,CHS,L
24600019,1946-11-11,PIT,PRO,W
24600022,1946-11-13,CHS,BOS,W
24600021,1946-11-13,DEF,PRO,L
24600024,1946-11-14,BOM,BOS,W
24600023,1946-11-14,PHW,WAS,W
24600025,1946-11-15,HUS,PRO,W
24600027,1946-11-16,CHS,WAS,L
24600029,1946-11-16,PRO,DEF,L
24600030,1946-11-16,BOS,HUS,W
24600026,1946-11-16,BOM,CLR,W
24600028,1946-11-16,NYK,PIT,W
24600031,1946-11-17,CLR,CHS,L
24600032,1946-11-18,NYK,DEF,W
24600033,1946-11-18,PIT,HUS,W
24600034,1946-11-19,HUS,CLR,L
24600035,1946-11-19,PHW,BOM,L
24600038,1946-11-20,WAS,BOM,W
24600037,1946-11-20,DEF,PIT,L
24600036,1946-11-20,NYK,CHS,W
24600041,1946-11-21,BOS,BOM,L
24600039,1946-11-21,PHW,CHS,L
24600040,1946-11-21,PRO,WAS,L
24600042,1946-11-22,HUS,BOS,W
24600046,1946-11-23,DEF,BOS,W
24600045,1946-11-23,WAS,HUS,W
24600043,1946-11-23,NYK,CLR,W
24600044,1946-11-23,PRO,BOM,L
24600048,1946-11-24,CHS,DEF,L
24600047,1946-11-24,CLR,PIT,W
24600049,1946-11-25,BOS,PRO,L
24600050,1946-11-25,PIT,NYK,L
24600053,1946-11-26,DEF,CLR,W
24600052,1946-11-26,PHW,BOS,W
24600051,1946-11-26,HUS,WAS,L
24600054,1946-11-27,WAS,CHS,W
24600055,1946-11-27,PIT,CLR,W
24600056,1946-11-27,NYK,BOM,W
24600057,1946-11-28,CHS,BOM,L
24600058,1946-11-28,PRO,NYK,L
24600059,1946-11-28,BOS,PIT,W
24600060,1946-11-28,PHW,DEF,L
24600061,1946-11-29,HUS,CLR,L
24600064,1946-11-30,BOM,DEF,W
24600063,1946-11-30,NYK,PHW,W
24600065,1946-11-30,WAS,PIT,W
24600062,1946-11-30,PRO,HUS,W
24600066,1946-12-01,CHS,BOS,W
24600067,1946-12-01,CLR,DEF,W
24600068,1946-12-02,PIT,BOS,L
24600069,1946-12-03,PHW,PRO,W
24600070,1946-12-04,WAS,PRO,W
24600071,1946-12-04,NYK,DEF,W
24600072,1946-12-04,PIT,CHS,L
24600075,1946-12-05,BOM,PIT,W
24600074,1946-12-05,BOS,DEF,L
24600073,1946-12-05,CHS,HUS,L
24600076,1946-12-05,PHW,NYK,W
24600077,1946-12-07,CHS,CLR,W
24600080,1946-12-07,PRO,HUS,L
24600081,1946-12-07,BOM,PHW,L
24600078,1946-12-07,BOS,NYK,L
24600079,1946-12-07,WAS,DEF,W
24600083,1946-12-08,NYK,BOS,W
24600082,1946-12-08,CLR,PHW,W
24600084,1946-12-09,PIT,DEF,L
24600086,1946-12-10,CLR,BOM,L
24600085,1946-12-10,HUS,PHW,L
24600088,1946-12-11,NYK,PRO,W
24600087,1946-12-11,CHS,CLR,W
24600089,1946-12-11,WAS,DEF,W
24600091,1946-12-12,BOS,DEF,W
24600092,1946-12-12,PHW,WAS,L
24600090,1946-12-12,BOM,CHS,L
24600093,1946-12-13,HUS,PIT,L
24600096,1946-12-14,WAS,CLR,W
24600094,1946-12-14,PRO,DEF,W
24600095,1946-12-14,BOS,PHW,W
24600099,1946-12-15,BOM,HUS,L
24600098,1946-12-15,CLR,NYK,W
24600097,1946-12-15,CHS,PIT,W
24600100,1946-12-16,PIT,BOM,L
24600101,1946-12-17,CLR,HUS,W
24600102,1946-12-17,PHW,DEF,W
24600103,1946-12-18,NYK,CLR,L
24600104,1946-12-18,WAS,BOM,W
24600107,1946-12-19,PHW,CLR,W
24600106,1946-12-19,BOS,BOM,L
24600105,1946-12-19,PRO,CHS,W
24600108,1946-12-20,HUS,NYK,W
24600109,1946-12-21,PRO,NYK,W
24600110,1946-12-21,WAS,PHW,W
24600111,1946-12-22,CHS,DEF,W
24600112,1946-12-22,CLR,PIT,L
24600113,1946-12-22,BOM,BOS,W
24600114,1946-12-23,PIT,BOS,W
24600115,1946-12-26,PRO,WAS,L
24600116,1946-12-26,BOM,DEF,W
24600117,1946-12-26,PHW,PIT,W
24600118,1946-12-27,HUS,CHS,L
24600119,1946-12-27,BOS,PHW,L
24600121,1946-12-28,WAS,NYK,W
24600120,1946-12-28,PRO,BOS,W
24600124,1946-12-29,DEF,HUS,L
24600123,1946-12-29,BOM,PHW,W
24600122,1946-12-29,CLR,CHS,L
24600125,1946-12-30,PIT,PHW,L
24600126,1946-12-30,BOS,WAS,L
24600128,1946-12-31,CLR,BOM,L
24600127,1946-12-31,HUS,CHS,W
24600131,1947-01-01,PIT,CLR,L
24600130,1947-01-01,DEF,WAS,W
24600129,1947-01-01,CHS,BOM,L
24600132,1947-01-02,PHW,PRO,W
24600133,1947-01-02,BOM,WAS,W
24600134,1947-01-03,HUS,BOS,L
24600137,1947-01-04,DEF,NYK,L
24600136,1947-01-04,WAS,CLR,W
24600135,1947-01-04,PRO,PHW,W
24600138,1947-01-05,BOM,NYK,L
24600141,1947-01-06,PIT,WAS,L
24600140,1947-01-06,BOS,CLR,L
24600139,1947-01-06,HUS,DEF,W
24600143,1947-01-08,WAS,PRO,W
24600144,1947-01-08,PIT,PHW,W
24600145,1947-01-08,NYK,HUS,L
24600142,1947-01-08,DEF,CHS,L
24600148,1947-01-09,PHW,HUS,W
24600147,1947-01-09,PRO,CLR,W
24600146,1947-01-09,BOM,CHS,W
24600149,1947-01-10,BOS,NYK,W
24600150,1947-01-11,PRO,BOS,L
24600151,1947-01-11,WAS,HUS,W
24600152,1947-01-11,DEF,PHW,W
24600153,1947-01-12,CHS,PHW,W
